Australia,  Exposures (Lexis triangle)	Last modified: 29 Nov 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1922   105     1816        0.00        1.19        1.19
 1922   106     1816        0.00        1.04        1.04
 1922   106     1815        0.00        0.69        0.69
 1922   107     1815        0.00        0.69        0.69
 1922   107     1814        0.00        0.54        0.54
 1922   108     1814        0.00        0.36        0.36
 1922   108     1813        0.00        0.38        0.38
 1922   109     1813        0.00        0.23        0.23
 1922   109     1812        0.00        0.27        0.27
 1922   110+       .        0.00        1.24        1.24
 1923    0      1923    32137.01    33459.36    65596.37
 1923    0      1922    31995.92    33240.88    65236.80
 1923    1      1922    31659.44    32901.09    64560.53
 1923    1      1921    31752.41    32989.47    64741.88
 1923    2      1921    31646.65    32927.10    64573.75
 1923    2      1920    30489.09    31758.86    62247.95
 1923    3      1920    30474.29    31778.21    62252.49
 1923    3      1919    28567.98    29790.26    58358.24
 1923    4      1919    28565.17    29793.88    58359.05
 1923    4      1918    28312.14    29335.23    57647.36
 1923    5      1918    28331.26    29358.14    57689.40
 1923    5      1917    29013.00    29937.11    58950.11
 1923    6      1917    29029.64    30006.48    59036.12
 1923    6      1916    29268.40    30291.39    59559.79
 1923    7      1916    29308.49    30335.62    59644.11
 1923    7      1915    29886.58    30810.55    60697.13
 1923    8      1915    29949.02    30854.12    60803.13
 1923    8      1914    30496.49    31143.65    61640.14
 1923    9      1914    30582.97    31208.24    61791.21
 1923    9      1913    29773.82    30373.88    60147.70
 1923   10      1913    29836.22    30487.03    60323.25
 1923   10      1912    28896.21    29446.47    58342.68
 1923   11      1912    28984.67    29559.20    58543.86
 1923   11      1911    28097.68    28598.91    56696.59
 1923   12      1911    28211.35    28710.78    56922.13
 1923   12      1910    27246.45    28019.91    55266.36
 1923   13      1910    27307.89    28083.77    55391.66
 1923   13      1909    26399.38    27347.31    53746.69
 1923   14      1909    26459.79    27437.88    53897.67
 1923   14      1908    25993.76    26594.01    52587.77
 1923   15      1908    26055.66    26709.78    52765.45
 1923   15      1907    25597.84    26070.10    51667.95
 1923   16      1907    25686.34    26235.74    51922.08
 1923   16      1906    24646.96    25693.36    50340.32
 1923   17      1906    24711.95    25862.41    50574.36
 1923   17      1905    24117.62    25242.32    49359.93
 1923   18      1905    24183.81    25388.77    49572.58
 1923   18      1904    23422.07    24071.58    47493.65
 1923   19      1904    23490.15    24242.80    47732.95
 1923   19      1903    22790.42    23165.84    45956.25
 1923   20      1903    22884.68    23361.07    46245.75
 1923   20      1902    22914.51    23140.71    46055.23
 1923   21      1902    23009.61    23386.50    46396.11
 1923   21      1901    23064.64    23240.06    46304.69
 1923   22      1901    23211.50    23464.57    46676.07
 1923   22      1900    23411.64    23287.28    46698.91
 1923   23      1900    23561.12    23562.46    47123.57
 1923   23      1899    23117.38    22596.04    45713.43
 1923   24      1899    23241.44    22869.90    46111.34
 1923   24      1898    22712.77    21789.36    44502.12
 1923   25      1898    22786.49    22087.33    44873.83
 1923   25      1897    23060.73    21616.93    44677.66
 1923   26      1897    23163.46    21965.93    45129.40
 1923   26      1896    23434.12    21835.78    45269.89
 1923   27      1896    23535.84    22085.59    45621.44
 1923   27      1895    23588.09    22139.12    45727.21
 1923   28      1895    23690.95    22441.64    46132.59
 1923   28      1894    23708.63    22434.14    46142.78
 1923   29      1894    23812.86    22662.19    46475.05
 1923   29      1893    23836.23    22886.19    46722.42
 1923   30      1893    23940.96    23114.76    47055.72
 1923   30      1892    23884.10    23234.61    47118.71
 1923   31      1892    23962.17    23438.74    47400.91
 1923   31      1891    23516.29    23312.71    46829.01
 1923   32      1891    23619.81    23516.49    47136.30
 1923   32      1890    22786.83    23186.78    45973.60
 1923   33      1890    22867.51    23417.18    46284.69
 1923   33      1889    22411.55    23309.40    45720.94
 1923   34      1889    22493.33    23515.45    46008.77
 1923   34      1888    22084.68    23113.45    45198.13
 1923   35      1888    22169.07    23270.90    45439.97
 1923   35      1887    21436.85    22287.37    43724.22
 1923   36      1887    21522.70    22474.27    43996.97
 1923   36      1886    20733.79    21608.10    42341.89
 1923   37      1886    20817.66    21793.59    42611.25
 1923   37      1885    20311.27    21186.54    41497.81
 1923   38      1885    20345.42    21323.66    41669.07
 1923   38      1884    19511.44    20458.75    39970.20
 1923   39      1884    19522.66    20622.20    40144.86
 1923   39      1883    18486.17    19462.96    37949.13
 1923   40      1883    18545.61    19603.52    38149.13
 1923   40      1882    17959.29    18728.77    36688.05
 1923   41      1882    17938.87    18870.75    36809.61
 1923   41      1881    17687.98    18506.69    36194.67
 1923   42      1881    17693.36    18625.15    36318.51
 1923   42      1880    17384.05    18277.53    35661.58
 1923   43      1880    17366.39    18399.56    35765.95
 1923   43      1879    16564.94    17556.97    34121.92
 1923   44      1879    16543.98    17624.54    34168.52
 1923   44      1878    15564.17    16608.60    32172.77
 1923   45      1878    15594.12    16703.07    32297.19
 1923   45      1877    14911.44    15853.70    30765.14
 1923   46      1877    14919.38    15950.49    30869.86
 1923   46      1876    14458.94    15303.99    29762.93
 1923   47      1876    14467.55    15401.42    29868.98
 1923   47      1875    14159.82    14951.71    29111.54
 1923   48      1875    14169.16    15025.86    29195.02
 1923   48      1874    13833.14    14626.34    28459.47
 1923   49      1874    13818.43    14724.43    28542.85
 1923   49      1873    13434.32    14303.26    27737.58
 1923   50      1873    13445.31    14359.65    27804.96
 1923   50      1872    13107.22    14116.90    27224.12
 1923   51      1872    13093.35    14147.75    27241.10
 1923   51      1871    12907.83    14225.34    27133.17
 1923   52      1871    12895.89    14277.93    27173.81
 1923   52      1870    12630.82    14147.23    26778.05
 1923   53      1870    12624.87    14184.47    26809.35
 1923   53      1869    12203.30    13694.00    25897.29
 1923   54      1869    12197.57    13709.87    25907.44
 1923   54      1868    11779.93    13068.76    24848.70
 1923   55      1868    11797.82    13088.18    24885.99
 1923   55      1867    11206.77    12565.43    23772.19
 1923   56      1867    11227.59    12587.07    23814.66
 1923   56      1866    10627.34    12265.17    22892.51
 1923   57      1866    10623.02    12287.24    22910.25
 1923   57      1865    10377.84    12161.98    22539.82
 1923   58      1865    10401.08    12189.52    22590.60
 1923   58      1864    10150.80    11886.84    22037.64
 1923   59      1864    10127.01    11896.51    22023.52
 1923   59      1863     9825.73    11408.30    21234.03
 1923   60      1863     9803.18    11379.12    21182.30
 1923   60      1862     9423.61    10847.31    20270.92
 1923   61      1862     9373.93    10814.29    20188.22
 1923   61      1861     8954.03    10364.00    19318.03
 1923   62      1861     8880.35    10345.95    19226.29
 1923   62      1860     8546.28     9906.31    18452.58
 1923   63      1860     8485.24     9877.16    18362.40
 1923   63      1859     7917.51     9151.34    17068.85
 1923   64      1859     7884.28     9075.76    16960.04
 1923   64      1858     7318.61     8303.25    15621.86
 1923   65      1858     7258.94     8209.09    15468.03
 1923   65      1857     6941.24     7741.41    14682.65
 1923   66      1857     6856.67     7670.79    14527.46
 1923   66      1856     6419.67     7304.59    13724.27
 1923   67      1856     6332.13     7201.15    13533.29
 1923   67      1855     5745.48     6625.69    12371.17
